Name           	              	                    	                          	        Code Coverage %	Compiled Lines	Covered Lines	Uncovered Lines	Code Lines	Excluded Lines	
SpaceWar2     	                    	                          	                     	0.2722         	720           	196          	524            	1507      	43            	
              	Controls            	                          	                     	1              	21            	21           	0              	84        	37            	
              	                    	ControllerFactory.cs      	                     	0              	22            	0            	22             	42        	0             	
              	                    	IKeyboardHandler.cs       	                     	1              	0             	0            	0              	12        	0             	
              	                    	IShipController.cs        	                     	1              	0             	0            	0              	8         	0             	
              	                    	KeyboardController.cs     	                     	1              	18            	18           	0              	37        	0             	
              	                    	KeyboardHandler.cs        	                     	0              	15            	0            	15             	33        	0             	
              	                    	NullShipController.cs     	                     	1              	3             	3            	0              	11        	0             	
              	                    	ShipAction.cs             	                     	1              	0             	0            	0              	16        	0             	
              	GameObjectFactory.cs	                          	                     	0              	35            	0            	35             	81        	0             	
              	GameObjects         	                          	                     	0.4375         	288           	126          	162            	602       	0             	
              	                    	GameObject.cs             	                     	0              	49            	0            	49             	107       	0             	
              	                    	IGameObject.cs            	                     	1              	0             	0            	0              	30        	0             	
              	                    	IShip.cs                  	                     	1              	0             	0            	0              	8         	0             	
              	                    	Ship.cs                   	                     	0              	72            	0            	72             	128       	0             	
              	                    	ShipComponents            	                     	0.7925         	159           	126          	33             	304       	0             	
              	                    	                          	EnergyStore.cs       	1              	30            	30           	0              	66        	0             	
              	                    	                          	Shield.cs            	1              	27            	27           	0              	59        	0             	
              	                    	                          	Thruster.cs          	1              	23            	23           	0              	50        	0             	
              	                    	                          	ThrusterArray.cs     	0.5823         	79            	46           	33             	129       	0             	
              	                    	Sun.cs                    	                     	0              	8             	0            	8              	25        	0             	
              	Graphics            	                          	                     	0              	146           	0            	146            	293       	0             	
              	                    	Arrow.cs                  	                     	0              	31            	0            	31             	56        	0             	
              	                    	Camera.cs                 	                     	0              	22            	0            	22             	50        	0             	
              	                    	Circle.cs                 	                     	0              	21            	0            	21             	44        	0             	
              	                    	DrawingManager.cs         	                     	0              	35            	0            	35             	70        	0             	
              	                    	InfoBar.cs                	                     	0              	37            	0            	37             	73        	0             	
              	Physics             	                          	                     	0.4712         	104           	49           	55             	198       	0             	
              	                    	Force.cs                  	                     	1              	15            	15           	0              	33        	0             	
              	                    	GravitySimulator.cs       	                     	0.9189         	37            	34           	3              	65        	0             	
              	                    	Universe.cs               	                     	0              	52            	0            	52             	100       	0             	
              	Program.cs          	                          	                     	0              	6             	0            	6              	17        	0             	
              	Properties          	                          	                     	1              	0             	0            	0              	37        	0             	
              	                    	AssemblyInfo.cs           	                     	1              	0             	0            	0              	37        	0             	
              	SpaceWar2Game.cs    	                          	                     	0              	120           	0            	120            	229       	0             	
              	Utils               	                          	                     	0              	6             	0            	6              	20        	0             	
              	                    	Extensions.cs             	                     	0              	6             	0            	6              	20        	0             	
